Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,promo_flag,subscribed,frequency_score,prev_purchases_norm,freq_score_norm,BLI,satisfied_flag,organic_buyer,ILS,eLTV,value_tier,satisfaction_flag,promo_dependency,BLI_quartile,customer_segment
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,1,1,7,0.8,1,0.8,1,0,2,3520,High,Satisfied,Promo-Dependent,Q4,Discount-Dependent Premium
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,1,1,7,0.32,1,0.32,0,0,1,352,Low,Dissatisfied,Promo-Dependent,Q3,At-Risk
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,1,1,1,0.28,0,0,0,0,1,350,Low,Neutral,Promo-Dependent,Q1,Discount Hunter
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,1,1,1,0.26,0,0,0,0,1,260,Low,Neutral,Promo-Dependent,Q1,Discount Hunter
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,1,1,3,0.14,0.333333333333333,0.0466666666666667,1,0,2,392,Low,Satisfied,Promo-Dependent,Q1,Discount Hunter
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,1,1,3,0.82,0.333333333333333,0.273333333333333,1,0,2,3854,High,Satisfied,Promo-Dependent,Q3,Discount-Dependent Premium
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,1,1,7,0.28,1,0.28,1,0,2,672,Low,Satisfied,Promo-Dependent,Q3,Passive / Occasional
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,1,1,4,0.32,0.5,0.16,1,0,2,496,Low,Satisfied,Promo-Dependent,Q2,Discount Hunter
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,1,1,4,0.9,0.5,0.45,1,0,2,3555,High,Satisfied,Promo-Dependent,Q4,Discount-Dependent Premium
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,1,1,1,0.74,0,0,1,0,2,2479,High,Satisfied,Promo-Dependent,Q1,Discount-Dependent Premium
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,1,1,2,0.9,0.166666666666667,0.15,0,0,1,1710,Mid,Neutral,Promo-Dependent,Q2,Discount Hunter
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,1,1,2,0.76,0.166666666666667,0.126666666666667,1,0,2,3458,High,Satisfied,Promo-Dependent,Q2,Discount-Dependent Premium
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,1,1,6,0.96,0.833333333333333,0.8,1,0,2,1584,Mid,Satisfied,Promo-Dependent,Q4,Passive / Occasional
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,1,1,5,0.88,0.666666666666667,0.586666666666667,1,0,2,3036,High,Satisfied,Promo-Dependent,Q4,Discount-Dependent Premium
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,1,1,7,0.2,1,0.2,0,0,1,450,Low,Dissatisfied,Promo-Dependent,Q3,At-Risk
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1,1,3,0.88,0.333333333333333,0.293333333333333,0,0,1,1628,Mid,Neutral,Promo-Dependent,Q3,Passive / Occasional
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,1,1,4,0.36,0.5,0.18,1,0,2,1080,Mid,Satisfied,Promo-Dependent,Q3,Passive / Occasional
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,1,1,2,0.62,0.166666666666667,0.103333333333333,1,0,2,2356,High,Satisfied,Promo-Dependent,Q2,Discount-Dependent Premium
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,1,1,1,0.8,0,0,1,0,2,1560,Mid,Satisfied,Promo-Dependent,Q1,Discount Hunter
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,1,1,1,0.3,0,0,1,0,2,1500,Mid,Satisfied,Promo-Dependent,Q1,Discount Hunter
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,1,1,5,0.38,0.666666666666667,0.253333333333333,0,0,1,1311,Mid,Neutral,Promo-Dependent,Q3,Passive / Occasional
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,1,1,7,0.9,1,0.9,1,0,2,2385,High,Satisfied,Promo-Dependent,Q4,Discount-Dependent Premium
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,1,1,1,0.5,0,0,0,0,1,525,Low,Dissatisfied,Promo-Dependent,Q1,Discount Hunter
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,1,1,2,0.9,0.166666666666667,0.15,0,0,1,1935,High,Dissatisfied,Promo-Dependent,Q2,Discount-Dependent Premium
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,1,1,7,0.72,1,0.72,1,0,2,1944,High,Satisfied,Promo-Dependent,Q4,Discount-Dependent Premium
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,1,1,4,0.76,0.5,0.38,0,0,1,2090,High,Dissatisfied,Promo-Dependent,Q3,Discount-Dependent Premium
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,1,1,6,0.68,0.833333333333333,0.566666666666667,1,0,2,1020,Mid,Satisfied,Promo-Dependent,Q4,Passive / Occasional
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,1,1,6,0.78,0.833333333333333,0.65,0,0,1,1092,Mid,Neutral,Promo-Dependent,Q4,Passive / Occasional
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,1,1,2,0.14,0.166666666666667,0.0233333333333333,1,0,2,413,Low,Satisfied,Promo-Dependent,Q1,Discount Hunter
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,1,1,7,0.52,1,0.52,0,0,1,520,Low,Dissatisfied,Promo-Dependent,Q4,At-Risk
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,1,1,7,0.7,1,0.7,0,0,1,840,Mid,Neutral,Promo-Dependent,Q4,Passive / Occasional
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,1,1,6,0.7,0.833333333333333,0.583333333333333,1,0,2,3290,High,Satisfied,Promo-Dependent,Q4,Discount-Dependent Premium
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,1,1,1,0.98,0,0,0,0,1,1372,Mid,Neutral,Promo-Dependent,Q1,Discount Hunter
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,1,1,7,0.92,1,0.92,1,0,2,3358,High,Satisfied,Promo-Dependent,Q4,Discount-Dependent Premium
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,1,1,5,0.34,0.666666666666667,0.226666666666667,1,0,2,1088,Mid,Satisfied,Promo-Dependent,Q3,Passive / Occasional
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,1,1,4,0.58,0.5,0.29,1,0,2,1566,Mid,Satisfied,Promo-Dependent,Q3,Passive / Occasional
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,1,1,7,0.08,1,0.08,1,0,2,316,Low,Satisfied,Promo-Dependent,Q2,Discount Hunter
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly,1,1,7,0.34,1,0.34,1,0,2,629,Low,Satisfied,Promo-Dependent,Q3,Passive / Occasional
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,1,1,3,0.42,0.333333333333333,0.14,1,0,2,1428,Mid,Satisfied,Promo-Dependent,Q2,Discount Hunter
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,1,1,5,0.62,0.666666666666667,0.413333333333333,0,0,1,651,Low,Neutral,Promo-Dependent,Q4,At-Risk
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,1,1,7,0.86,1,0.86,0,0,1,3397,High,Dissatisfied,Promo-Dependent,Q4,Discount-Dependent Premium
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,1,1,5,0.36,0.666666666666667,0.24,1,0,2,1494,Mid,Satisfied,Promo-Dependent,Q3,Passive / Occasional
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1,1,3,0.88,0.333333333333333,0.293333333333333,1,0,2,1584,Mid,Satisfied,Promo-Dependent,Q3,Passive / Occasional
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,1,1,3,0.06,0.333333333333333,0.02,1,0,2,282,Low,Satisfied,Promo-Dependent,Q1,Discount Hunter
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,1,1,4,0.98,0.5,0.49,1,0,2,1617,Mid,Satisfied,Promo-Dependent,Q4,Passive / Occasional
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,1,1,3,0.42,0.333333333333333,0.14,0,0,1,966,Mid,Neutral,Promo-Dependent,Q2,Discount Hunter
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,1,1,7,0.1,1,0.1,1,0,2,350,Low,Satisfied,Promo-Dependent,Q2,Discount Hunter
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,1,1,3,0.64,0.333333333333333,0.213333333333333,1,0,2,928,Mid,Satisfied,Promo-Dependent,Q3,Passive / Occasional
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,1,1,1,0.68,0,0,0,0,1,1632,Mid,Dissatisfied,Promo-Dependent,Q1,Discount Hunter
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,1,1,3,0.42,0.333333333333333,0.14,0,0,1,546,Low,Dissatisfied,Promo-Dependent,Q2,Discount Hunter
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,1,1,6,0.86,0.833333333333333,0.716666666666667,0,0,1,3655,High,Dissatisfied,Promo-Dependent,Q4,Discount-Dependent Premium
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,1,1,4,0.06,0.5,0.03,1,0,2,174,Low,Satisfied,Promo-Dependent,Q1,Discount Hunter
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,1,1,1,0.42,0,0,0,0,1,1785,Mid,Dissatisfied,Promo-Dependent,Q1,Discount Hunter
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,1,1,4,0.64,0.5,0.32,1,0,2,1376,Mid,Satisfied,Promo-Dependent,Q3,Passive / Occasional
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,1,1,5,0.72,0.666666666666667,0.48,0,0,1,1908,High,Neutral,Promo-Dependent,Q4,Discount-Dependent Premium
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,1,1,5,1,0.666666666666667,0.666666666666667,1,0,2,4550,High,Satisfied,Promo-Dependent,Q4,Discount-Dependent Premium
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,1,1,3,0.86,0.333333333333333,0.286666666666667,0,0,1,4128,High,Dissatisfied,Promo-Dependent,Q3,Discount-Dependent Premium
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,1,1,3,0.48,0.333333333333333,0.16,0,0,1,1728,Mid,Neutral,Promo-Dependent,Q2,Discount Hunter
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,1,1,3,0.72,0.333333333333333,0.24,0,0,1,3456,High,Dissatisfied,Promo-Dependent,Q3,Discount-Dependent Premium
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,1,1,3,0.42,0.333333333333333,0.14,1,0,2,588,Low,Satisfied,Promo-Dependent,Q2,Discount Hunter
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,1,1,7,0.68,1,0.68,1,0,2,1360,Mid,Satisfied,Promo-Dependent,Q4,Passive / Occasional
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,1,1,3,0.84,0.333333333333333,0.28,1,0,2,1344,Mid,Satisfied,Promo-Dependent,Q3,Passive / Occasional
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,1,1,6,0.04,0.833333333333333,0.0333333333333333,1,0,2,190,Low,Satisfied,Promo-Dependent,Q1,Discount Hunter
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,1,1,6,0.94,0.833333333333333,0.783333333333333,0,0,1,1927,High,Neutral,Promo-Dependent,Q4,Discount-Dependent Premium
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,1,1,5,0.88,0.666666666666667,0.586666666666667,0,0,1,2332,High,Neutral,Promo-Dependent,Q4,Discount-Dependent Premium
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,1,1,4,0.7,0.5,0.35,0,0,1,1645,Mid,Neutral,Promo-Dependent,Q3,Passive / Occasional
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,1,1,2,0.3,0.166666666666667,0.05,0,0,1,1245,Mid,Neutral,Promo-Dependent,Q1,Discount Hunter
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,1,1,4,0.58,0.5,0.29,0,0,1,1392,Mid,Dissatisfied,Promo-Dependent,Q3,Passive / Occasional
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,1,1,3,0.36,0.333333333333333,0.12,1,0,2,1782,Mid,Satisfied,Promo-Dependent,Q2,Discount Hunter
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,1,1,3,0.26,0.333333333333333,0.0866666666666667,1,0,2,1131,Mid,Satisfied,Promo-Dependent,Q2,Discount Hunter
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,1,1,7,0.92,1,0.92,1,0,2,2852,High,Satisfied,Promo-Dependent,Q4,Discount-Dependent Premium
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,1,1,7,0.56,1,0.56,1,0,2,2128,High,Satisfied,Promo-Dependent,Q4,Discount-Dependent Premium
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,1,1,4,0.96,0.5,0.48,0,0,1,4800,High,Neutral,Promo-Dependent,Q4,Discount-Dependent Premium
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,1,1,3,0.86,0.333333333333333,0.286666666666667,0,0,1,3139,High,Neutral,Promo-Dependent,Q3,Discount-Dependent Premium
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,1,1,1,0.74,0,0,1,0,2,3404,High,Satisfied,Promo-Dependent,Q1,Discount-Dependent Premium
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,1,1,1,0.4,0,0,0,0,1,1340,Mid,Dissatisfied,Promo-Dependent,Q1,Discount Hunter
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,1,1,2,0.66,0.166666666666667,0.11,0,0,1,1320,Mid,Neutral,Promo-Dependent,Q2,Discount Hunter
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,1,1,5,0.62,0.666666666666667,0.413333333333333,0,0,1,3038,High,Dissatisfied,Promo-Dependent,Q4,Discount-Dependent Premium
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,1,1,6,1,0.833333333333333,0.833333333333333,1,0,2,4250,High,Satisfied,Promo-Dependent,Q4,Discount-Dependent Premium
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,1,1,2,0.7,0.166666666666667,0.116666666666667,1,0,2,2345,High,Satisfied,Promo-Dependent,Q2,Discount-Dependent Premium
